0.025   -1.95886   -0.99241   -0.227074   -0.0941809   -1.95838   -0.99282   -0.226719   -0.094185
0.026   -1.84469   -0.941887   -0.216999   -0.0897806   -1.84425   -0.942262   -0.216661   -0.0897837
0.027   -1.73954   -0.895431   -0.207637   -0.0857171   -1.73914   -0.895732   -0.207335   -0.0857179
0.028   -1.64242   -0.85258   -0.198914   -0.0819535   -1.64208   -0.852785   -0.198661   -0.081951
0.029   -1.55247   -0.81294   -0.190768   -0.0784582   -1.55243   -0.81315   -0.19057   -0.0784517
0.03   -1.46897   -0.776171   -0.183144   -0.0752038   -1.46875   -0.776157   -0.183003   -0.0751932
0.031   -1.39126   -0.741947   -0.176009   -0.072165   -1.39111   -0.741867   -0.175907   -0.0721519
0.032   -1.31877   -0.709776   -0.169441   -0.06931   -1.31868   -0.709902   -0.169237   -0.0693076
0.033   -1.25103   -0.679787   -0.163222   -0.0666371   -1.251   -0.68005   -0.162953   -0.0666413
0.034   -1.1876   -0.651773   -0.157327   -0.0641297   -1.18761   -0.652116   -0.15702   -0.064138
0.035   -1.12811   -0.625549   -0.15173   -0.061773   -1.12814   -0.625931   -0.151408   -0.0617833
0.036   -1.0722   -0.600956   -0.146408   -0.0595541   -1.07226   -0.601342   -0.146089   -0.0595647
0.037   -1.01958   -0.577849   -0.141343   -0.0574614   -1.01965   -0.578218   -0.141038   -0.057471
0.038   -0.969984   -0.556103   -0.136515   -0.0554845   -0.970056   -0.556435   -0.136235   -0.0554923
0.039   -0.923157   -0.535603   -0.131908   -0.0536143   -0.923202   -0.535876   -0.131658   -0.0536195
0.04   -0.878886   -0.516248   -0.127506   -0.0518425   -0.878912   -0.516461   -0.127291   -0.0518446
0.041   -0.836975   -0.497949   -0.123296   -0.0501616   -0.836977   -0.498096   -0.123118   -0.0501604
0.042   -0.797246   -0.480624   -0.119265   -0.0485649   -0.79722   -0.480704   -0.119124   -0.0485603
0.043   -0.759539   -0.464198   -0.115402   -0.0470463   -0.759481   -0.464212   -0.115302   -0.0470735
0.044   -0.723594   -0.448513   -0.111736   -0.0455947   -0.723619   -0.448557   -0.111625   -0.0455891
0.045   -0.689322   -0.433544   -0.108242   -0.0442072   -0.6895   -0.433679   -0.108098   -0.0442078
0.046   -0.656714   -0.419327   -0.104873   -0.0428847   -0.657004   -0.419527   -0.104705   -0.0428894
0.047   -0.625657   -0.405807   -0.10162   -0.0416227   -0.626024   -0.406051   -0.101438   -0.0416305
0.048   -0.596047   -0.392938   -0.0984775   -0.0404173   -0.596462   -0.393206   -0.0982883   -0.0404269
0.049   -0.567787   -0.380674   -0.0954396   -0.0392648   -0.568223   -0.380952   -0.0952494   -0.0392753
0.05   -0.540791   -0.368976   -0.0925006   -0.038162   -0.541226   -0.369252   -0.092314   -0.0381725
0.051   -0.514979   -0.357808   -0.0896555   -0.0371056   -0.515394   -0.358072   -0.089476   -0.0371156
0.052   -0.490276   -0.347135   -0.0868994   -0.0360929   -0.490656   -0.347379   -0.0867297   -0.0361018
0.053   -0.466615   -0.336926   -0.0842276   -0.0351213   -0.466946   -0.337144   -0.0840695   -0.0351287
0.054   -0.443933   -0.327153   -0.0816361   -0.0341884   -0.444207   -0.327341   -0.081491   -0.034194
0.055   -0.422171   -0.317789   -0.0791208   -0.0332919   -0.422375   -0.317944   -0.0789892   -0.0332955
0.056   -0.401277   -0.308811   -0.0766781   -0.0324298   -0.401407   -0.308931   -0.0765602   -0.0324312
0.057   -0.381201   -0.300196   -0.0743043   -0.0316003   -0.381252   -0.300281   -0.0742001   -0.0315993
0.058   -0.361896   -0.291923   -0.0719963   -0.0308014   -0.361867   -0.291972   -0.0719053   -0.0307981
0.059   -0.343319   -0.283973   -0.0697508   -0.0300316   -0.343212   -0.283989   -0.0696724   -0.030026
0.06   -0.325432   -0.276329   -0.0675651   -0.0292893   -0.325239   -0.276308   -0.0675008   -0.0292815
0.061   -0.307875   -0.268902   -0.0654246   -0.0285681   -0.307922   -0.268921   -0.0653803   -0.0285632
0.062   -0.290933   -0.261748   -0.0633383   -0.0278715   -0.291226   -0.261808   -0.0633154   -0.0278698
0.063   -0.274629   -0.254864   -0.0613059   -0.0271994   -0.275118   -0.254957   -0.0613013   -0.0272001
0.064   -0.258927   -0.248237   -0.0593249   -0.0265504   -0.259569   -0.248355   -0.0593357   -0.0265529
0.065   -0.243796   -0.241853   -0.0573931   -0.0259234   -0.244554   -0.241989   -0.0574162   -0.0259272
0.066   -0.229207   -0.235699   -0.0555082   -0.0253174   -0.230044   -0.235847   -0.0555408   -0.025322
0.067   -0.215132   -0.229764   -0.0536682   -0.0247313   -0.216017   -0.229919   -0.0537076   -0.0247363
0.068   -0.201544   -0.224037   -0.0518712   -0.0241642   -0.20245   -0.224195   -0.0519149   -0.0241692
0.069   -0.188419   -0.218509   -0.0501152   -0.0236152   -0.189321   -0.218666   -0.0501609   -0.02362
0.07   -0.175734   -0.213168   -0.0483986   -0.0230834   -0.176613   -0.213321   -0.048444   -0.0230878
0.071   -0.163468   -0.208007   -0.0467197   -0.0225682   -0.164304   -0.208154   -0.0467627   -0.0225719
0.072   -0.151601   -0.203018   -0.0450769   -0.0220687   -0.152378   -0.203156   -0.0451157   -0.0220715
0.073   -0.140113   -0.198191   -0.0434688   -0.0215843   -0.140819   -0.19832   -0.0435017   -0.0215861
0.074   -0.128986   -0.19352   -0.0418939   -0.0211143   -0.129609   -0.193638   -0.0419192   -0.021115
0.075   -0.118204   -0.188998   -0.0403508   -0.0206581   -0.118735   -0.189103   -0.0403673   -0.0206576
